"UID","ID_ModelName","Images_Num","Images_ISO","Images_Quality","Images_Masks","Images_CPs","Images_Markers","Images_GPS","Images_GSM","Alignment_Accuracy","Alignment_GenericPreselection","Alignment_RefrencePreselection","Alignment_KeyPoint","Alignment_TiePoint","Alignment_AdaptiveCamera","Alignment_TieKey","Alignment_ResultPoints","Alignment_ResultPointsUsed","GradSelec_ReprojectionError","GradSelec_ReconstructionError","GradSelec_ImageCount","GradSelec_ProjectionAccuracy","GradSelec_NoPointsResult","Calib_CameraOpt","Calib_AdaptiveCam","Calib_EstTiePointConv","Dense_Quality","Dense_DepthFilter","Dense_ResuseDepthMaps","Dense_CalcColours","Dense_Result","Dense_ComputeTime","Merge_NewName","Merge_Method","Merge_Accuracy","Merge_KeyPointLimit","Merge_TiePointLimit","Merge_AppluMasksTo","Phgrm_Name","Phgrm_Description","Phgrm_Subject","Phgrm_Coverage","Phgrm_Creators","Phgrm_Identifiers","Phgrm_CreatedDate","Phgrm_AccuracyGSD","Phgrm_DescRefrences","Phgrm_Notes","Modified_Date","Modified_Time","User_Current","Camera_Type","Camera_Lens","Images_NumUsed","Alignment_ComputeTime","Error_TiePoint","Error_KeyPoint","Error_Max","Error_RMS","Calib_PreCalLens","Outputs_DEM","Outputs_DEMGSD","Outputs_DTM","Outputs_DTMGSD","Outputs_OrthographicImage","Outputs_OrthoGSD","Outputs_Sections","Outputs_Meshed","Associated_Find","Associated_CommunityFind","Associated_Trench","Associated_Context","Associated_Sample","Associated_Building","Associated_Masonry","Associated_WorkedStone","Associated_Survey","Associated_Photogrametry","Associated_Skeleton","Georef_notes","Merge_AlignedWith2","Outputs_ClassifiedPoints","Location_Address","Location_Grid","Location_X","Location_Y","Phgrm_AccuracySigma","Created_Date","Edit_LastEdit"
1,"SM_2019_Q_01",155,100,0.00,0,1,1,0,0,,0,0,0,0,0,,247118,159237,0.00,0,0,0,0,"",0,0,"High","Agressive",0,0,56716686,"02:42:00","####_####_Ph_##",,,0,0,,,,"Survey of Sea Mills Roman ruins for reconstruction",198.00,"Birkett, A. T. R.",,,0.83,,,,,,"Cannon 550D","",147,,2.84,5.02,6.68,0.44,0,0,,0,,0,,0,0,"","","","","","","","","","","",,"",0,"Roman Ruins,
Roman Way, Bristol BS9 1SQ","ST5512775769",355126.69,175769.46,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:46 BY Admin; "
2,"KWRV_2019_Q_01",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0,"",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,0.00,,,,0.00,,,,,,,"",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0,"","","","","","","","","","","",,"",0,"Kings Weston Roman Villa,
Long Cross, Bristol",,0.00,0.00,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:08 BY Admin; "
3,"KWRV_2019_Q_02",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0,"",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,0.00,,,,0.00,,,,,,,"",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0,"","","","","","","","","","","",,"",0,"Kings Weston Roman Villa,
Long Cross, Bristol",,0.00,0.00,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:10 BY Admin; "
4,"KWRV_2019_Q_03",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0," ",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,50.06,,,,0.00,,,,,,," ",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0," "," "," "," "," "," "," "," "," "," "," ",," ",0,"Kings Weston Roman Villa,
Long Cross, Bristol","ST5340877556",353407.99,177555.85,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:07:50 BY Admin; "
5,"KWRV_2019_Q_04",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0,"!",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,0.00,,,,0.00,,,,,,,"!",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0,"!","!","!","!","!","!","!","!","!","!","!",,"!",0,"Kings Weston Roman Villa,
Long Cross, Bristol",,0.00,0.00,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:02 BY Admin; "
6,"KWRV_2019_Q_05",170,100,0.00,0,1,1,0,0,"High",1,0,40000,0,1,,316724,424612,1.00,200,0,10,0,"""",1,1,"High","Moderate",0,0,46818682,"20:42:00","####_####_Ph_##",,,0,0,,,,"Survey of R.02-04 within the shed of KWRV.",34.52,"Birkett, A. T. R.",,"2019-11-05",0.63,,,,,,"Cannon 550D","""",170,"1:23:17",3.11,6.60,24.56,1.06,0,1,"0.001 m/pix",0,,1,"0.001 m/pix",1,1,"""","""","""","""","""","""","""","""","""","""","""",,"""",0,"Kings Weston Roman Villa,
Long Cross, Bristol","ST537977553",353378.88,177552.55,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:03 BY Admin; "
7,"KWRV_2019_Q_06",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0,"#",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,40.65,,,,0.00,,,,,,,"#",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0,"#","#","#","#","#","#","#","#","#","#","#",,"#",0,"Kings Weston Roman Villa,
Long Cross, Bristol","ST5338577548",353384.88,177548.06,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:03 BY Admin; "
8,"KWRV_2019_Q_07",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0,"$",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,0.00,,,,0.00,,,,,,,"$",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0,"$","$","$","$","$","$","$","$","$","$","$",,"$",0,"Kings Weston Roman Villa,
Long Cross, Bristol",,0.00,0.00,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:04 BY Admin; "
9,"KWRV_2019_Q_08",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0,"%",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,0.00,,,,0.00,,,,,,,"%",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0,"%","%","%","%","%","%","%","%","%","%","%",,"%",0,"Kings Weston Roman Villa,
Long Cross, Bristol",,0.00,0.00,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:04 BY Admin; "
10,"KWRV_2019_Q_09",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0,"&",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,0.00,,,,0.00,,,,,,,"&",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0,"&","&","&","&","&","&","&","&","&","&","&",,"&",0,"Kings Weston Roman Villa,
Long Cross, Bristol",,0.00,0.00,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:05 BY Admin; "
11,"KWRV_2019_Q_10",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0,"'",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,0.00,,,,0.00,,,,,,,"'",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0,"'","'","'","'","'","'","'","'","'","'","'",,"'",0,"Kings Weston Roman Villa,
Long Cross, Bristol",,0.00,0.00,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:05 BY Admin; "
12,"KWRV_2019_Q_11",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0,"(",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,0.00,,,,0.00,,,,,,,"(",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0,"(","(","(","(","(","(","(","(","(","(","(",,"(",0,"Kings Weston Roman Villa,
Long Cross, Bristol",,0.00,0.00,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:06 BY Admin; "
13,"SM_2020_Q_01",0,0,0.00,0,0,0,0,0,,0,0,0,0,0,,0,0,0.00,0,0,0,0,")",0,0,,,0,0,0,,"####_####_Ph_##",,,0,0,,,,,0.00,,,,0.00,,,,,,,")",0,,0.00,0.00,0.00,0.00,0,0,,0,,0,,0,0,")",")",")",")",")",")",")",")",")",")",")",,")",0,"Roman Ruins,
Roman Way, Bristol BS9 1SQ",,0.00,0.00,0.00,11/03/2021 00:00:00,"EDIT ON 16/03/2021 15:08:52 BY Admin; "
